question,final_answer,section,source
Suppose that the value of x is −4. What is the value of the expression (3x − 5) + x?,-21,"Expressions, Relations, and Substitution",
"A brownie recipe is asking for 350 grams of sugar, and a pound cake recipe requires 270 more grams of sugar than a brownie recipe. How many grams of sugar are needed for the pound cake?",620,Translation,
"The size of a compressed file is 1.74 MiB, while the size of the original uncompressed file is 5.5 times greater. What is the size of the uncompressed file, in MiB?",9.57,Translation,
Margo is 5 years old and Ivan is 34 years older than Margo. How old is Ivan?,39,Translation,
"Alice runs 1.9 times faster than Bob, who runs at 4.7 mph. How fast does Alice run, in mph?",8.93,Translation,
"Tao’s first car was 3 times cheaper than his second car, and he bought his second car for 7899 dollars. How much was Tao’s first car?",2633,Translation,
"The profit of ACME Corporation in the second quarter was 8.84 billion dollars, which was 1.3 times greater than the profit in the first quarter. What was ACME’s profit in the first quarter?",6.8,Properties of Equations,
The width of a rectangle is 125 meters shorter than the length. Find the length if the width is 205 meters.,330,Properties of Equations,
The payout for playing a single number on a roulette table is 35 times greater than the bet. Cindy receives the payout of $3850. How much was Cindy’s bet?,110,Properties of Equations,
"A history textbook costs $90, which is five times cheaper than an anatomy textbook. Find the price of the anatomy text.",450,Properties of Equations,
"According to NASA, the global land-ocean temperature index (average surface temperature of Earth) in 2016 is 1.26 ◦C greater than it was in 1920. Find the average temperature in 1920 if it was 0.99 ◦C in 2016.",-0.27,Properties of Equations,
"Damian’s age is one year less than twice the Colin’s age. How old is Colin, if Damian is 17 years old?",9,Properties of Equations,
"Bob says to Alice: if you give me 3 apples and then take half of my apples away, then I will be left with 13 apples. How many apples do I have now?",23,Properties of Equations,
"Alice works two jobs. Her full-time job pays four times more than her part-time job, and together they pay 3800 dollars per month. Find how much her full-time job pays per month.",3040,Solving Linear Equations,
"Rita bought rice and truffles a grocery store, and she paid $67.5 more for truffles than she paid for the rice. Find the price of rice if the total bill was $72.",2.25,Solving Linear Equations,
"Alice, Bob, and Charlie stand to inherit 12000 dollars, and the will stipulates that the inheritance is to be split in such a way that Bob gets two times more money than Alice, while Charlie should get 1600 dollars less than Alice. Find the inheritance amount for Alice.",3400,Solving Linear Equations,
"Katy invested some money into bonds, and the amount of interest earned after one year was 25 times smaller than the original investment. Find the interest if the total amount in her account is $546.",21,Solving Linear Equations,
"An éclair has five times as many calories as a latte, and together they have 264 calories. Find how many calories an éclair has.",220,Solving Linear Equations,
The width of a rectangular parking lot is 40 feet shorter than its length. Find the width of the lot if its perimeter is 640 feet.,140,Solving Linear Equations,
"Consider an astronomical triangle with sides a, b, and c, such that the length of the side b is 3 light-years longer the length of a, and the length of c is 6 times shorter than the length of a. Find the length of side a if the perimeter of the triangle is 55 light-years.",24,Solving Linear Equations,
A monthly pass for light rail is 1.2 times cheaper than the a bundle with 20 day passes. Find the price of the monthly pass if the bundle costs $10 more than the monthly pass.,50,Solving Linear Equations,
